Date received,Product,Sub-product,Issue,Sub-issue,Company,State,ZIP code,Complaint ID,Company response to consumer
2025-05-17,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",GA,30350,13565255,Closed with explanation
2025-01-10,Debt collection,Telecommunications debt,False statements or representation,Attempted to collect wrong amount,Diverse Funding Associates LLC,NV,89122,11475207,Closed with explanation
2025-03-03,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Credit inquiries on your report that you don't recognize,Experian Information Solutions Inc.,WV,XXXXX,12288685,Closed with explanation
2022-06-22,"Credit reporting, credit repair services, or other personal consumer reports",Other personal consumer report,Improper use of your report,Reporting company used your report improperly,"Rocket Mortgage, LLC",MO,631XX,5698628,Closed with explanation
2018-10-02,Debt collection,Credit card debt,Threatened to contact someone or share information improperly,Contacted your employer,"Portfolio Recovery Associates, LLC",IL,60586,3035115,Closed with non-monetary relief
2025-11-17,Credit reporting or other personal consumer reports,Credit reporting,Incorrect information on your report,Account information incorrect,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,10455,17291486,Closed with non-monetary relief
2025-01-23,Debt collection,I do not know,Written notification about debt,Didn't receive notice of right to dispute,HSBC NORTH AMERICA HOLDINGS INC.,TX,786XX,11699657,Closed with explanation
2025-02-19,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,Experian Information Solutions Inc.,FL,33904,12137055,Closed with explanation
2023-08-07,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Information belongs to someone else,Experian Information Solutions Inc.,SC,29650,7358771,Closed with explanation
2025-12-23,Credit reporting or other personal consumer reports,Credit reporting,Improper use of your report,Reporting company used your report improperly,"EQUIFAX, INC.",TX,77493,18257076,Closed with explanation
2021-12-07,Mortgage,VA mortgage,Applying for a mortgage or refinancing an existing mortgage,,"Dovenmuehle Mortgage, Inc.",TX,782XX,4985866,Closed with explanation
2026-01-26,Checking or savings account,Checking account,Problem with a lender or other company charging your account,Transaction was not authorized,Chime Financial Inc,OR,97756,19017650,Closed with explanation
2016-03-04,Debt collection,Payday loan,False statements or representation,Indicated committed crime not paying,"Populus Financial Group, Inc. (F/K/A Ace Cash Express)",WA,98226,1814721,Closed with explanation
2024-02-13,Checking or savings account,CD (Certificate of Deposit),Managing an account,Funds not handled or disbursed as instructed,DOLLAR MUTUAL BANCORP,PA,150XX,8334277,Closed with explanation
2023-09-01,Credit reporting or other personal consumer reports,Credit reporting,Problem with a company's investigation into an existing problem,Was not notified of investigation status or results,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",GA,317XX,7488348,Closed with non-monetary relief
2022-05-25,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,"Garner & Conner, PLLC",TN,38125,5600542,Closed with explanation
2021-12-27,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,MiraMed Revenue Group LLC,NC,28115,5044519,Closed with explanation
